ticket_id,customer_id,subject,description,status,priority,category,created_at,updated_at,agent_assigned
TKT-31222,dce43b39-7aaf-4d25-ab24-21fe6162ce3d,Feature request,Customer inquiry about password reset not working. Needs assistance with resolving this issue.,resolved,medium,account,2025-09-20T17:35:43.089513,2025-09-21T17:35:43.089526,agent1
TKT-19238,368df575-a13f-4eec-bb71-10a3af32d14a,Billing question about recent charge,Customer inquiry about cannot log into my account. Needs assistance with resolving this issue.,open,medium,technical,2025-09-25T17:35:43.089543,2025-09-25T17:35:43.089548,
TKT-71190,8aebfa2a-31ff-4606-a023-1ab20630287f,Product not working as expected,Customer inquiry about product not working as expected. Needs assistance with resolving this issue.,in_progress,urgent,product,2025-09-16T17:35:43.089561,2025-09-26T17:35:43.089565,agent3
TKT-83478,23603d97-a076-4f16-9b83-151417c031a2,Refund request for order,Customer inquiry about technical support needed. Needs assistance with resolving this issue.,closed,urgent,technical,2025-09-15T17:35:43.089615,2025-09-24T17:35:43.089624,agent1
TKT-52913,210035fe-9112-44e1-a258-93d6a443e8fa,Cannot log into my account,Customer inquiry about product not working as expected. Needs assistance with resolving this issue.,open,low,technical,2025-08-31T17:35:43.089636,2025-09-26T17:35:43.089641,agent2
TKT-55335,27a679dd-51c6-4142-8299-4a8cf67a5a3c,Cannot log into my account,Customer inquiry about password reset not working. Needs assistance with resolving this issue.,open,low,product,2025-08-29T17:35:43.089651,2025-09-24T17:35:43.089655,agent2
TKT-47693,ae5dad7e-12f9-4136-b6a2-dd54735e3134,Performance problems,Customer inquiry about feature request. Needs assistance with resolving this issue.,closed,medium,account,2025-08-30T17:35:43.089665,2025-09-22T17:35:43.089669,
TKT-90529,320ee79b-6867-45e0-8bdf-a3b8fa71573f,Need help with installation,Customer inquiry about integration issues. Needs assistance with resolving this issue.,open,urgent,product,2025-09-16T17:35:43.089680,2025-09-21T17:35:43.089684,agent1
TKT-84316,ebdc3b76-9e96-4049-a0d7-60ca3269a50e,Product not working as expected,Customer inquiry about feature request. Needs assistance with resolving this issue.,resolved,medium,product,2025-09-08T17:35:43.089693,2025-09-23T17:35:43.089697,agent1
TKT-59433,f4bef75e-a818-449b-bcc9-569b0df841bd,Cannot log into my account,Customer inquiry about account suspended unexpectedly. Needs assistance with resolving this issue.,resolved,medium,general,2025-09-08T17:35:43.089708,2025-09-24T17:35:43.089712,
TKT-61124,7dfff454-b94f-4d2a-b4b3-47d85d255625,Technical support needed,Customer inquiry about product not working as expected. Needs assistance with resolving this issue.,open,low,account,2025-09-19T17:35:43.089722,2025-09-25T17:35:43.089726,agent2
TKT-67572,0bc335d8-8773-4027-aa2b-b1361c09831c,Billing question about recent charge,Customer inquiry about billing question about recent charge. Needs assistance with resolving this issue.,resolved,high,account,2025-09-24T17:35:43.089736,2025-09-24T17:35:43.089740,
TKT-83343,273fed2c-fff1-49c4-b230-f718edb59d91,Billing question about recent charge,Customer inquiry about feature request. Needs assistance with resolving this issue.,open,high,billing,2025-08-29T17:35:43.089750,2025-09-21T17:35:43.089753,
TKT-53750,28bc4b91-1c24-4261-89dd-5efc8b876c68,Feature request,Customer inquiry about cannot log into my account. Needs assistance with resolving this issue.,escalated,low,billing,2025-09-18T17:35:43.089767,2025-09-24T17:35:43.089771,
TKT-24624,3b649574-cfb6-47c9-a0c0-7e5920a11c85,Account suspended unexpectedly,Customer inquiry about account suspended unexpectedly. Needs assistance with resolving this issue.,open,low,technical,2025-09-14T17:35:43.089781,2025-09-22T17:35:43.089788,agent2
TKT-39199,327da0e5-69e9-4363-957b-4e979879293c,Product not working as expected,Customer inquiry about need help with installation. Needs assistance with resolving this issue.,closed,high,product,2025-09-22T17:35:43.089802,2025-09-22T17:35:43.089806,agent1
TKT-53112,8aebfa2a-31ff-4606-a023-1ab20630287f,Technical support needed,Customer inquiry about bug report. Needs assistance with resolving this issue.,escalated,low,general,2025-08-27T17:35:43.089815,2025-09-25T17:35:43.089819,
TKT-84485,50beee2f-0529-4190-8a50-44fb5f34902f,Feature request,Customer inquiry about cannot log into my account. Needs assistance with resolving this issue.,open,medium,general,2025-09-16T17:35:43.089829,2025-09-24T17:35:43.089834,agent3
TKT-84374,bdcc49b5-749e-4337-a0cd-ecd8ad67f765,Account suspended unexpectedly,Customer inquiry about billing question about recent charge. Needs assistance with resolving this issue.,escalated,high,billing,2025-08-27T17:35:43.089846,2025-09-26T17:35:43.089850,agent2
TKT-90632,fd47779f-5c92-4da7-9f07-5d60fd8c7321,Product not working as expected,Customer inquiry about account suspended unexpectedly. Needs assistance with resolving this issue.,escalated,high,billing,2025-09-07T17:35:43.089860,2025-09-21T17:35:43.089864,
TKT-78576,899b9951-7fe6-4c92-83e5-08386fbeed5b,Need help with installation,Customer inquiry about feature request. Needs assistance with resolving this issue.,escalated,low,billing,2025-09-22T17:35:43.089874,2025-09-22T17:35:43.089878,agent2
TKT-43136,7dfff454-b94f-4d2a-b4b3-47d85d255625,Need help with installation,Customer inquiry about billing question about recent charge. Needs assistance with resolving this issue.,resolved,urgent,account,2025-09-15T17:35:43.089887,2025-09-24T17:35:43.089891,
TKT-54456,8179718b-29be-4fd7-83b2-f70f5cda01d6,Technical support needed,Customer inquiry about performance problems. Needs assistance with resolving this issue.,in_progress,medium,technical,2025-09-24T17:35:43.089901,2025-09-23T17:35:43.089905,
TKT-22200,5e2cf6d8-113d-4b9d-b0cf-d2d10166f100,Cannot log into my account,Customer inquiry about feature request. Needs assistance with resolving this issue.,closed,medium,account,2025-09-12T17:35:43.089915,2025-09-22T17:35:43.089919,agent1
TKT-88049,45b22e3f-9e8a-4ea8-b8d8-3840125e5021,Bug report,Customer inquiry about product not working as expected. Needs assistance with resolving this issue.,resolved,urgent,billing,2025-09-06T17:35:43.089938,2025-09-24T17:35:43.089942,agent2
TKT-66974,daffb8e8-a511-497a-a11b-7d34601cfe93,Cannot log into my account,Customer inquiry about performance problems. Needs assistance with resolving this issue.,open,low,general,2025-09-23T17:35:43.089952,2025-09-23T17:35:43.089956,agent1
TKT-50427,50beee2f-0529-4190-8a50-44fb5f34902f,Technical support needed,Customer inquiry about account suspended unexpectedly. Needs assistance with resolving this issue.,resolved,medium,account,2025-09-14T17:35:43.089966,2025-09-22T17:35:43.089970,
TKT-34693,f9de0851-dd7d-4de8-8414-51c9a1ddbf8c,Integration issues,Customer inquiry about technical support needed. Needs assistance with resolving this issue.,escalated,urgent,account,2025-09-21T17:35:43.090154,2025-09-25T17:35:43.090159,
TKT-22360,64bb6861-5ff9-4933-bb3f-26dbe1631036,Product not working as expected,Customer inquiry about bug report. Needs assistance with resolving this issue.,resolved,medium,technical,2025-09-06T17:35:43.090170,2025-09-24T17:35:43.090174,agent3
TKT-64645,de07d587-063d-4553-9548-deb8ea0c54a8,Refund request for order,Customer inquiry about performance problems. Needs assistance with resolving this issue.,resolved,high,technical,2025-09-17T17:35:43.090185,2025-09-25T17:35:43.090189,
TKT-78655,d80b5ca1-52db-4668-ad0d-276eaefea9f3,Cannot log into my account,Customer inquiry about refund request for order. Needs assistance with resolving this issue.,in_progress,high,product,2025-09-14T17:35:43.090199,2025-09-23T17:35:43.090203,agent1
TKT-45030,b267d350-0b40-4744-a757-32725918caa4,Password reset not working,Customer inquiry about refund request for order. Needs assistance with resolving this issue.,closed,low,general,2025-09-21T17:35:43.090213,2025-09-25T17:35:43.090217,agent2
TKT-91740,b267d350-0b40-4744-a757-32725918caa4,Performance problems,Customer inquiry about technical support needed. Needs assistance with resolving this issue.,resolved,high,billing,2025-09-16T17:35:43.090227,2025-09-22T17:35:43.090231,agent2
